# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 23lli
# CHANNEL = B+R
# EXPNUM = 23_179_081_003
# MJD-OBS = 60123.540295
# DATE-OBS = 2023-06-28T12:58:03
# EXPTIME = 2400.0s
# AIRMASS = 1.19
# FLUXCAL_RMS_B = 0.034 mag
# FLUXCAL_RMS_R = 0.035 mag
# RA = 22:57:39.47
# DEC = 40:32:40.70
# wl fl err
# [A] [erg/s/cm2/A]
4036.480000 3.134860e-16 1.472138e-17
4039.480000 3.053086e-16 1.372549e-17
4042.480000 3.042816e-16 1.274975e-17
4045.480000 3.110057e-16 1.397000e-17
4048.480000 3.232281e-16 1.460086e-17
4051.480000 3.446790e-16 1.356722e-17
4054.480000 3.494410e-16 1.295751e-17
4057.480000 3.500679e-16 1.440309e-17
4060.480000 3.350939e-16 1.456260e-17
4063.480000 3.230756e-16 1.298394e-17
4066.480000 3.165242e-16 1.272070e-17
4069.480000 3.229665e-16 1.457535e-17
4072.480000 2.702178e-16 1.414985e-17
4075.480000 2.433920e-16 1.193829e-17
4078.480000 2.541416e-16 1.224429e-17
4081.480000 2.898608e-16 1.405934e-17
4084.480000 3.181321e-16 1.409415e-17
4087.480000 3.277470e-16 1.266252e-17
4090.480000 3.256986e-16 1.309337e-17
4093.480000 3.315363e-16 1.447988e-17
4096.480000 3.305623e-16 1.398038e-17
4099.480000 3.408473e-16 1.282397e-17
4102.480000 3.215153e-16 1.356297e-17
4105.480000 3.051394e-16 1.441705e-17
4108.480000 2.769442e-16 1.341800e-17
4111.480000 2.414171e-16 1.224799e-17
4114.480000 2.305486e-16 1.321888e-17
4117.480000 2.317138e-16 1.393117e-17
4120.480000 2.712079e-16 1.324402e-17
4123.480000 2.938783e-16 1.298783e-17
4126.480000 3.284008e-16 1.445658e-17
4129.480000 3.462360e-16 1.477657e-17
4132.480000 3.310001e-16 1.307013e-17
4135.480000 3.399192e-16 1.278283e-17
4138.480000 3.540224e-16 1.458278e-17
4141.480000 3.491551e-16 1.453500e-17
4144.480000 3.665773e-16 1.280891e-17
4147.480000 3.779929e-16 1.286921e-17
4150.480000 3.623513e-16 1.453355e-17
4153.480000 3.664521e-16 1.443940e-17
4156.480000 3.697586e-16 1.275706e-17
4159.480000 3.616381e-16 1.309447e-17
4162.480000 3.921718e-16 1.517394e-17
4165.480000 3.740603e-16 1.396769e-17
4168.480000 3.819086e-16 1.249076e-17
4171.480000 3.858614e-16 1.320046e-17
4174.480000 4.018419e-16 1.430874e-17
4177.480000 3.885834e-16 1.335511e-17
4180.480000 3.640774e-16 1.214658e-17
4183.480000 3.676936e-16 1.338630e-17
4186.480000 3.801407e-16 1.425821e-17
4189.480000 3.658889e-16 1.298427e-17
4192.480000 3.621128e-16 1.212412e-17
4195.480000 3.376961e-16 1.310627e-17
4198.480000 3.602501e-16 1.372300e-17
4201.480000 3.617205e-16 1.236922e-17
4204.480000 3.563290e-16 1.199029e-17
4207.480000 3.610455e-16 1.357714e-17
4210.480000 3.767993e-16 1.384621e-17
4213.480000 3.732635e-16 1.220466e-17
4216.480000 3.616408e-16 1.222229e-17
4219.480000 3.749703e-16 1.426766e-17
4222.480000 3.528596e-16 1.540360e-17
4225.480000 3.659964e-16 1.225054e-17
4228.480000 3.718272e-16 1.228015e-17
4231.480000 3.698142e-16 1.353034e-17
4234.480000 3.489864e-16 1.292026e-17
4237.480000 3.486872e-16 1.161844e-17
4240.480000 3.595223e-16 1.230418e-17
4243.480000 3.524820e-16 1.321282e-17
4246.480000 3.166693e-16 1.236195e-17
4249.480000 2.936805e-16 1.118554e-17
4252.480000 2.925512e-16 1.204361e-17
4255.480000 3.173217e-16 1.286712e-17
4258.480000 3.430561e-16 1.219616e-17
4261.480000 3.534163e-16 1.158872e-17
4264.480000 3.622887e-16 1.289413e-17
4267.480000 3.716495e-16 1.339033e-17
4270.480000 3.653023e-16 1.209188e-17
4273.480000 3.722073e-16 1.172710e-17
4276.480000 3.667048e-16 1.315455e-17
4279.480000 3.593761e-16 1.320376e-17
4282.480000 3.708840e-16 1.187142e-17
4285.480000 3.655879e-16 1.178191e-17
4288.480000 3.724165e-16 1.342325e-17
4291.480000 3.556437e-16 1.316658e-17
4294.480000 3.531700e-16 1.157527e-17
4297.480000 3.494124e-16 1.173744e-17
4300.480000 3.599006e-16 1.311010e-17
4303.480000 3.695440e-16 1.279502e-17
4306.480000 3.675920e-16 1.148856e-17
4309.480000 3.589846e-16 1.191835e-17
