# TELESCOPE = Liverpool Telescope
# INSTRUMENT = SPRAT
# PROPOSAL = PL22B16
# OBJECT = 2022wtn
# RA = 23:23:23.778
# DEC = 10:41:7.99
# DATE-OBS = 2022-11-20T20:10:41.684
# MJD-OBS = 59903.84076
# EXPTIME-OBS = 2100.0s
# AIRMASS-OBS = 1.0573
# SEEING-OBS = 1.068386
# wl fl
# [A] [Normalised]
7488.400000 0.789938
7497.600000 0.723128
7506.800000 0.809415
7516.000000 0.810286
7525.200000 0.575507
7534.400000 0.946021
7543.600000 0.790401
7552.800000 0.828978
7562.000000 0.749141
7571.200000 0.814292
7580.400000 0.821179
7589.600000 0.61256
7598.800000 0.352628
7608.000000 0.148034
7617.200000 0.430655
7626.400000 0.450732
7635.600000 0.583823
7644.800000 0.521777
7654.000000 0.626869
7663.200000 0.700575
7672.400000 0.724145
7681.600000 0.83335
7690.800000 0.703787
7700.000000 0.820842
7709.200000 0.971753
7718.400000 1.01435
7727.600000 0.789713
7736.800000 0.517987
7746.000000 0.619229
7755.200000 0.958415
7764.400000 0.948979
7773.600000 0.960284
7782.800000 0.74492
7792.000000 0.698245
7801.200000 0.830853
7810.400000 1.07657
7819.600000 0.801342
7828.800000 0.791757
7838.000000 0.579627
7847.200000 0.795673
7856.400000 0.560599
7865.600000 0.412384
7874.800000 1.01375
7884.000000 0.883642
7893.200000 0.842405
7902.400000 0.720338
7911.600000 0.656181
7920.800000 0.644168
7930.000000 0.508366
7939.200000 0.311074
7948.400000 0.749969
7957.600000 1.2633
7966.800000 0.676146
7976.000000 0.19333
7985.200000 0.559031
7994.400000 0.64213
