#wl flux
3307.7537 2.45145e-16
3308.9036 2.25957e-16
3310.0537 2.39066e-16
3311.2039 2.29284e-16
3312.3542 2.44198e-16
3313.5049 2.41091e-16
3314.656 2.32228e-16
3315.8069 2.52244e-16
3316.9585 2.47414e-16
3318.1099 2.26856e-16
3319.2617 2.47449e-16
3320.4136 2.40434e-16
3321.5659 2.50715e-16
3322.7183 2.509e-16
3323.8708 2.34612e-16
3325.0237 2.60771e-16
3326.1768 2.24317e-16
3327.3301 2.31947e-16
3328.4834 2.11311e-16
3329.6372 2.41026e-16
3330.791 2.68602e-16
3331.9453 2.20872e-16
3333.0996 2.43642e-16
3334.2542 2.65526e-16
3335.4087 2.37464e-16
3336.5637 2.45855e-16
3337.719 2.38523e-16
3338.8743 2.45532e-16
3340.0298 2.5335e-16
3341.1858 2.36861e-16
3342.3418 2.44957e-16
3343.4978 2.11826e-16
3344.6543 2.32694e-16
3345.811 2.45913e-16
3346.968 2.28045e-16
3348.125 2.5488e-16
3349.2822 2.26659e-16
3350.4397 2.33178e-16
3351.5974 2.43898e-16
3352.7551 2.35499e-16
3353.9133 2.22865e-16
3355.0715 2.32834e-16
3356.23 2.15286e-16
3357.3889 2.1632e-16
3358.5479 2.2927e-16
3359.7068 2.18895e-16
3360.8662 2.21359e-16
3362.0259 2.30362e-16
3363.1855 2.18439e-16
3364.3455 2.34034e-16
3365.5056 2.3496e-16
3366.666 2.31207e-16
3367.8267 2.28651e-16
3368.9873 2.5661e-16
3370.1482 2.17472e-16
3371.3096 2.18407e-16
3372.4709 2.39564e-16
3373.6326 2.23993e-16
3374.7942 2.24356e-16
3375.9563 2.11013e-16
3377.1184 2.27026e-16
3378.2808 2.211e-16
3379.4434 2.35141e-16
3380.6062 2.56754e-16
3381.7693 2.17664e-16
3382.9324 2.28476e-16
3384.0959 2.21978e-16
3385.2595 2.38304e-16
3386.4233 2.37735e-16
3387.5874 2.2081e-16
3388.7515 2.31929e-16
3389.916 2.49132e-16
3391.0806 2.23346e-16
3392.2454 2.27097e-16
3393.4104 2.498e-16
3394.5754 2.18192e-16
3395.741 2.36099e-16
3396.9065 2.27552e-16
3398.0723 2.22608e-16
3399.2383 2.28679e-16
3400.4045 2.30236e-16
3401.5708 2.40092e-16
3402.7375 2.27941e-16
3403.9043 2.33649e-16
3405.0713 2.29874e-16
3406.2383 2.20012e-16
3407.4058 2.29743e-16
3408.5735 2.29158e-16
3409.7412 2.25901e-16
3410.9092 2.25553e-16
3412.0774 2.40695e-16
3413.2456 2.26637e-16
3414.4143 2.1341e-16
3415.583 2.27586e-16
3416.752 2.3551e-16
3417.9209 2.44144e-16
3419.0903 2.33015e-16
3420.26 2.34433e-16
3421.4297 2.22479e-16
3422.5996 2.26242e-16
3423.7695 2.05968e-16
3424.9399 2.27117e-16
3426.1104 2.20173e-16
3427.281 2.38769e-16
3428.4519 2.27624e-16
3429.623 2.14512e-16
3430.7942 2.28151e-16
3431.9658 2.39416e-16
3433.1372 2.3494e-16
3434.3091 2.19985e-16
3435.4812 2.33498e-16
3436.6533 2.20792e-16
3437.8257 2.31798e-16
3438.9983 2.29749e-16
3440.1711 2.07724e-16
3441.344 2.34932e-16
3442.5171 2.20508e-16
3443.6907 2.38306e-16
3444.864 2.23284e-16
3446.0378 2.17832e-16
3447.2117 2.27537e-16
3448.3857 2.15179e-16
3449.5601 2.23485e-16
3450.7346 2.1436e-16
3451.9092 2.22097e-16
3453.084 2.44561e-16
3454.259 2.42943e-16
3455.4343 2.24777e-16
3456.6096 2.23946e-16
3457.7854 2.33254e-16
3458.9612 2.25454e-16
3460.137 2.33084e-16
3461.3132 2.26776e-16
3462.4895 2.08692e-16
3463.666 2.22774e-16
3464.8428 2.12865e-16
3466.0195 2.27211e-16
3467.1968 2.15278e-16
3468.3738 2.20574e-16
3469.5515 2.29456e-16
3470.729 2.09288e-16
3471.9067 2.1403e-16
3473.0847 2.235e-16
3474.2629 2.18318e-16
3475.4414 2.21218e-16
