WAVE,FLUX,ERR,BGFLUX
9003.156,3.8716492E-16,9.878343E-18,4.4195363E-16
9007.37,4.0049968E-16,9.406904E-18,3.0165972E-16
9011.585,3.6726557E-16,8.6410744E-18,1.641318E-16
9015.799,3.7411092E-16,8.717715E-18,1.6698098E-16
9020.014,3.9118877E-16,8.803594E-18,1.580298E-16
9024.228,3.7356697E-16,8.822137E-18,1.774006E-16
9028.441,3.6981837E-16,8.916176E-18,1.9271532E-16
9032.656,3.5184346E-16,9.1665666E-18,2.6081603E-16
9036.87,3.7799454E-16,9.39089E-18,2.672037E-16
9041.085,3.85596E-16,9.839701E-18,3.5553139E-16
9045.299,3.7871822E-16,9.771775E-18,3.4341802E-16
9049.513,4.0476346E-16,9.785807E-18,3.0722584E-16
9053.728,3.893401E-16,9.627821E-18,2.863684E-16
9057.941,3.6253267E-16,9.170813E-18,2.1955311E-16
9062.156,3.8165528E-16,9.166712E-18,1.9238245E-16
9066.37,3.5379523E-16,8.975249E-18,1.8854057E-16
9070.584,3.5108438E-16,8.8812794E-18,1.7476942E-16
9074.799,3.21933E-16,8.711445E-18,1.7476974E-16
9079.013,3.2281593E-16,8.646902E-18,1.5725271E-16
9083.228,3.2340186E-16,8.749023E-18,1.7342292E-16
9087.441,3.173697E-16,8.8946524E-18,2.0671095E-16
9091.655,3.619057E-16,9.309958E-18,2.3236499E-16
9095.87,3.603438E-16,9.490383E-18,2.6892153E-16
9100.084,3.5069766E-16,9.34773E-18,2.4378085E-16
9104.299,3.5499516E-16,9.359947E-18,2.345111E-16
9108.513,3.5270905E-16,9.292491E-18,2.1478788E-16
9112.727,3.7690782E-16,9.2331505E-18,1.6412075E-16
9116.941,3.6332337E-16,9.255086E-18,1.8204116E-16
9121.155,3.6376351E-16,9.175538E-18,1.6078043E-16
9125.37,3.655436E-16,9.15685E-18,1.5237235E-16
9129.584,3.7959525E-16,9.2356006E-18,1.5092205E-16
9133.798,3.996999E-16,9.654103E-18,1.4830839E-16
9138.013,3.6585862E-16,9.273292E-18,1.6816686E-16
9142.227,3.9145056E-16,9.4662376E-18,1.6779162E-16
9146.441,3.7167321E-16,9.553336E-18,2.0611604E-16
9150.655,3.638123E-16,9.616513E-18,2.2555932E-16
9154.87,3.6164125E-16,9.721749E-18,2.4694033E-16
9159.084,3.685253E-16,9.659511E-18,2.1744463E-16
9163.298,3.9617727E-16,9.783039E-18,2.0348888E-16
9167.513,3.6633876E-16,9.609346E-18,1.9755034E-16
9171.727,3.5187898E-16,9.433623E-18,1.7288564E-16
9175.941,3.803551E-16,9.630994E-18,1.730342E-16
9180.155,3.546687E-16,9.555655E-18,1.8432603E-16
9184.369,3.88366E-16,9.690011E-18,1.5777303E-16
9188.584,3.613264E-16,9.6836496E-18,1.8050308E-16
9192.798,4.1395974E-16,9.942153E-18,1.5638187E-16
9197.013,3.7843066E-16,9.7635015E-18,1.5419803E-16
9201.227,3.6277879E-16,9.779057E-18,1.6967424E-16
9205.44,3.682921E-16,9.9160865E-18,1.8294916E-16
9209.655,3.730083E-16,1.00300124E-17,1.9560073E-16
9213.869,3.9539268E-16,1.0189256E-17,1.9267746E-16
9218.084,3.8302788E-16,1.0269086E-17,2.205783E-16
9222.298,3.7320745E-16,1.0239365E-17,2.2046375E-16
9226.512,3.9108424E-16,1.0326926E-17,2.0747549E-16
9230.727,4.037237E-16,1.03238485E-17,1.8275511E-16
9234.94,3.759909E-16,1.0119797E-17,1.7297976E-16
9239.155,3.7512403E-16,1.0152287E-17,1.7374466E-16
9243.369,3.7478953E-16,1.0272184E-17,1.9427766E-16
9247.583,3.7774408E-16,1.0310814E-17,1.9104996E-16
9251.798,3.8702497E-16,1.0331098E-17,1.7500577E-16
9256.012,3.9610736E-16,1.0413033E-17,1.7072844E-16
9260.227,3.902186E-16,1.0459965E-17,1.8068317E-16
9264.44,3.7733174E-16,1.0393281E-17,1.7670305E-16
9268.654,3.7969623E-16,1.04368794E-17,1.7733241E-16
9272.869,3.8918242E-16,1.0463612E-17,1.6942121E-16
9277.083,3.7911059E-16,1.039919E-17,1.703751E-16
9281.298,3.824796E-16,1.0508272E-17,1.8714006E-16
9285.512,3.7806696E-16,1.0661907E-17,2.2551508E-16
9289.726,3.688694E-16,1.0553376E-17,2.1344746E-16
9293.94,3.7691722E-16,1.0750183E-17,2.433923E-16
9298.154,3.5053985E-16,1.19962555E-17,5.5175636E-16
9302.369,3.7137318E-16,1.3584826E-17,9.228768E-16
9306.583,3.407488E-16,1.5167425E-17,1.4063633E-15
9310.797,3.6209346E-16,1.5269293E-17,1.4082737E-15
9315.012,3.6029994E-16,1.5418154E-17,1.4563016E-15
9319.226,3.4577518E-16,1.4336216E-17,1.1638414E-15
9323.44,3.4557224E-16,1.31030356E-17,8.4042847E-16
9327.654,3.880918E-16,1.2950158E-17,7.5773243E-16
9331.869,4.270472E-16,1.179488E-17,4.525198E-16
9336.083,3.8040194E-16,1.106443E-17,3.4611225E-16
9340.297,3.6630578E-16,1.1044968E-17,3.5442431E-16
9344.512,3.6392212E-16,1.0698278E-17,2.8299103E-16
9348.726,3.4628089E-16,1.0482528E-17,2.4582236E-16
9352.94,4.0107608E-16,1.0761038E-17,2.3288734E-16
9357.154,3.8026737E-16,1.0796232E-17,2.4775613E-16
9361.368,4.172056E-16,1.07606354E-17,1.9592404E-16
9365.583,4.0882315E-16,1.389843E-17,8.8262644E-16
9369.797,3.4920797E-16,1.6332595E-17,1.5882398E-15
9374.012,4.052904E-16,1.6951462E-17,1.6959672E-15
9378.226,4.1905309E-16,1.6925325E-17,1.6494275E-15
9382.439,3.5921998E-16,1.4361435E-17,9.775284E-16
9386.654,3.8087578E-16,1.1632187E-17,3.0488369E-16
9390.868,4.2403356E-16,1.21409625E-17,3.2579677E-16
9395.083,4.0615892E-16,1.2389864E-17,3.7113778E-16
9399.297,3.771557E-16,1.24467786E-17,4.0113715E-16
9403.511,4.109388E-16,1.242911E-17,3.4938018E-16
9407.726,3.5171166E-16,1.2225905E-17,3.71345E-16
9411.939,3.854313E-16,1.28391236E-17,4.553401E-16
9416.154,3.725415E-16,1.32055365E-17,5.4791734E-16
9420.368,3.8425824E-16,1.3194036E-17,5.258032E-16
9424.582,4.159711E-16,1.3071998E-17,4.659272E-16
9428.797,4.0614976E-16,1.2986688E-17,4.600893E-16
9433.011,3.4680573E-16,1.5042627E-17,9.906981E-16
9437.226,3.628606E-16,1.5652277E-17,1.1177269E-15
9441.439,3.7796924E-16,1.5856578E-17,1.1396213E-15
