# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2022adm
# CHANNEL = B+R
# EXPNUM = 22_043_048_003
# MJD-OBS = 59622.550833
# DATE-OBS = 2022-02-12T13:12:57
# EXPTIME = 1800.0s
# AIRMASS = 1.16
# FLUXCAL_RMS_B = 0.103 mag
# FLUXCAL_RMS_R = 0.067 mag
# RA = 14:27:51.40
# DEC = 28:10:28.99
# wl fl err
# [A] [erg/s/cm2/A]
4290.860000 2.697453e-16 2.532818e-17
4293.860000 2.576510e-16 2.508633e-17
4296.860000 2.561581e-16 2.197921e-17
4299.860000 2.695479e-16 2.248156e-17
4302.860000 2.685918e-16 2.485806e-17
4305.860000 2.347175e-16 2.366321e-17
4308.860000 2.201195e-16 2.108727e-17
4311.860000 2.219775e-16 2.213495e-17
4314.860000 2.347100e-16 2.409254e-17
4317.860000 2.650823e-16 2.321151e-17
4320.860000 2.671359e-16 2.162423e-17
4323.860000 2.433549e-16 2.321837e-17
4326.860000 2.884895e-16 2.501345e-17
4329.860000 2.606845e-16 2.288729e-17
4332.860000 2.317884e-16 2.132968e-17
4335.860000 2.402149e-16 2.363619e-17
4338.860000 2.299758e-16 2.445358e-17
4341.860000 2.446255e-16 2.228512e-17
4344.860000 2.377895e-16 2.114149e-17
4347.860000 2.450261e-16 2.379550e-17
4350.860000 2.523589e-16 2.446538e-17
4353.860000 2.217775e-16 2.175042e-17
4356.860000 2.173049e-16 2.147860e-17
4359.860000 2.648291e-16 2.489750e-17
4362.860000 2.602728e-16 2.490769e-17
4365.860000 2.782281e-16 2.191926e-17
4368.860000 2.945652e-16 2.253162e-17
4371.860000 2.658828e-16 2.459217e-17
4374.860000 2.547514e-16 2.387588e-17
4377.860000 2.345963e-16 2.118167e-17
4380.860000 2.299543e-16 2.194326e-17
4383.860000 2.552868e-16 2.413706e-17
4386.860000 2.458478e-16 2.290353e-17
4389.860000 2.473359e-16 2.081237e-17
4392.860000 2.620738e-16 2.240449e-17
4395.860000 2.400939e-16 2.399610e-17
4398.860000 2.145247e-16 2.224405e-17
4401.860000 2.337343e-16 2.089529e-17
4404.860000 2.160336e-16 2.257144e-17
4407.860000 2.079305e-16 2.351877e-17
4410.860000 2.146391e-16 2.156518e-17
4413.860000 1.982927e-16 2.060793e-17
4416.860000 2.121467e-16 2.327139e-17
4419.860000 1.980807e-16 2.372984e-17
4422.860000 2.172509e-16 2.123626e-17
4425.860000 2.204483e-16 2.097962e-17
4428.860000 2.103592e-16 2.396059e-17
4431.860000 2.093576e-16 2.386243e-17
4434.860000 1.874278e-16 2.062467e-17
4437.860000 1.884051e-16 2.074863e-17
4440.860000 2.183301e-16 2.357528e-17
4443.860000 2.219986e-16 2.319297e-17
4446.860000 2.188753e-16 2.054594e-17
4449.860000 2.025440e-16 2.119375e-17
4452.860000 2.011629e-16 2.311194e-17
4455.860000 1.805553e-16 2.206481e-17
4458.860000 1.817634e-16 1.992670e-17
4461.860000 2.182833e-16 2.140510e-17
