wavelength flux
3784.2998 4.99931e-17
3786.4116 4.83902e-17
3788.5237 4.63705e-17
3790.6362 4.69269e-17
3792.749 4.28122e-17
3794.8623 4.72853e-17
3796.9756 4.0678e-17
3799.0894 4.18921e-17
3801.2036 4.10917e-17
3803.3179 3.98725e-17
3805.4326 4.92674e-17
3807.5479 4.48858e-17
3809.6633 4.33931e-17
3811.7791 4.27502e-17
3813.895 4.09494e-17
3816.0115 4.3587e-17
3818.1284 4.74091e-17
3820.2454 4.85783e-17
3822.3628 4.82315e-17
3824.4805 4.14518e-17
3826.5984 4.27911e-17
3828.7168 4.23981e-17
3830.8357 4.65823e-17
3832.9546 4.25432e-17
3835.074 4.28227e-17
3837.1936 4.05326e-17
3839.3137 4.37125e-17
3841.4338 4.10633e-17
3843.5544 4.34349e-17
3845.6753 4.30217e-17
3847.7966 4.625e-17
3849.9182 4.63036e-17
3852.04 4.10511e-17
3854.1624 4.32937e-17
3856.2849 4.17667e-17
3858.4077 4.33302e-17
3860.5308 4.63082e-17
3862.6543 4.33053e-17
3864.7781 4.31275e-17
3866.9021 4.64646e-17
3869.0264 4.3949e-17
3871.1511 4.31679e-17
3873.2761 4.23407e-17
3875.4014 4.06589e-17
3877.5271 4.4281e-17
3879.6528 4.24437e-17
3881.7793 4.2257e-17
3883.9058 4.50886e-17
3886.0325 4.33562e-17
3888.1597 4.40854e-17
3890.2871 4.23895e-17
3892.4148 4.09537e-17
3894.543 3.93091e-17
3896.6711 4.57461e-17
3898.7998 4.23146e-17
3900.9287 3.95815e-17
3903.0581 4.28586e-17
3905.1875 4.19766e-17
3907.3174 3.93048e-17
3909.4475 3.89211e-17
3911.5779 4.52769e-17
3913.7085 4.04611e-17
3915.8396 3.99322e-17
3917.9709 3.74311e-17
3920.1025 4.34294e-17
3922.2344 3.67643e-17
3924.3667 4.0362e-17
3926.499 4.26213e-17
3928.6318 4.1748e-17
3930.7649 3.86834e-17
3932.8982 4.38515e-17
3935.032 4.45891e-17
3937.1658 3.97517e-17
3939.3 4.07438e-17
3941.4346 4.17341e-17
3943.5691 4.01693e-17
3945.7043 3.74222e-17
3947.8396 4.0139e-17
3949.9753 4.22893e-17
3952.1111 4.51457e-17
3954.2473 4.22768e-17
3956.3838 4.36947e-17
3958.5205 4.58801e-17
3960.6577 4.45828e-17
3962.7949 4.10209e-17
3964.9326 4.13281e-17
3967.0703 4.24364e-17
3969.2085 4.42422e-17
3971.3469 3.7705e-17
3973.4856 4.30741e-17
3975.6245 4.59435e-17
3977.7639 4.25373e-17
3979.9033 4.20122e-17
3982.0432 4.24146e-17
3984.1831 4.16412e-17
3986.3235 4.27875e-17
3988.4641 4.70418e-17
3990.605 4.46533e-17
3992.7461 4.06472e-17
3994.8875 4.12068e-17
3997.0293 3.81665e-17
3999.1711 4.24722e-17
4001.3132 4.19512e-17
4003.4558 3.74477e-17
4005.5986 4.09013e-17
4007.7417 3.63563e-17
4009.8848 3.52653e-17
4012.0283 3.63403e-17
4014.1721 3.99532e-17
4016.3162 4.00945e-17
4018.4604 4.18052e-17
4020.605 3.94428e-17
4022.75 3.84087e-17
4024.895 3.99145e-17
4027.0403 3.90172e-17
4029.186 3.66344e-17
4031.3318 4.04516e-17
4033.478 3.99979e-17
4035.6245 4.0258e-17
4037.771 4.0871e-17
4039.918 3.97505e-17
4042.0652 3.82712e-17
4044.2124 3.88032e-17
4046.3601 3.54755e-17
4048.5081 4.01817e-17
4050.6562 3.92904e-17
4052.8047 3.87911e-17
4054.9531 3.82419e-17
4057.1021 4.33627e-17
4059.2512 3.89404e-17
4061.4006 3.7075e-17
4063.5503 4.17334e-17
4065.7002 3.92139e-17
4067.8503 3.67843e-17
4070.0007 3.90309e-17
4072.1514 3.88637e-17
4074.3022 3.55394e-17
4076.4534 3.95444e-17
4078.6047 4.05015e-17
4080.7563 3.82663e-17
4082.9082 3.67133e-17
4085.0603 4.10039e-17
4087.2124 4.32102e-17
4089.365 3.78891e-17
4091.5178 3.99898e-17
4093.6709 3.77945e-17
4095.8242 3.87397e-17
4097.9775 3.9426e-17
4100.1313 3.82915e-17
4102.2852 3.95501e-17
4104.4395 3.64701e-17
4106.5942 3.52309e-17
4108.7485 3.62492e-17
4110.9038 3.32715e-17
4113.0586 3.78811e-17
4115.2139 3.7085e-17
4117.3696 3.94458e-17
4119.5254 3.80759e-17
4121.6816 3.93315e-17
4123.8379 3.69656e-17
4125.9946 3.48488e-17
4128.1509 3.62051e-17
4130.3081 3.45238e-17
4132.4653 3.9812e-17
4134.6226 3.44866e-17
4136.7803 3.93153e-17
4138.938 3.69405e-17
4141.0962 3.57934e-17
4143.2544 3.57552e-17
4145.4131 3.45759e-17
4147.5718 3.71597e-17
4149.731 3.4239e-17
4151.8901 3.65615e-17
4154.0493 3.55876e-17
4156.209 3.5384e-17
4158.3691 3.52062e-17
4160.5293 3.68688e-17
4162.6895 3.68824e-17
4164.8501 3.9932e-17
4167.0107 3.50265e-17
4169.1714 3.64914e-17
4171.3325 3.46711e-17
4173.4941 3.55863e-17
4175.6558 3.63166e-17
4177.8174 3.45591e-17
4179.9795 3.58942e-17
4182.1416 3.49812e-17
4184.3042 3.53837e-17
4186.4668 3.45621e-17
4188.6294 3.27113e-17
4190.7925 3.44979e-17
4192.9556 3.68813e-17
4195.1191 3.74971e-17
4197.2827 3.3531e-17
4199.4468 3.51052e-17
4201.6108 3.25754e-17
4203.7749 3.54721e-17
4205.9395 3.51725e-17
4208.1045 3.93813e-17
4210.269 3.44874e-17
4212.4341 3.58577e-17
4214.5996 3.28684e-17
4216.7651 3.52842e-17
4218.9307 3.62783e-17
4221.0967 3.49496e-17
4223.2627 3.34647e-17
4225.4292 3.70942e-17
4227.5957 3.68223e-17
4229.7622 3.52428e-17
4231.9292 3.82499e-17
4234.0962 3.31302e-17
4236.2637 3.32867e-17
4238.4307 3.52631e-17
4240.5986 3.25896e-17
4242.7666 3.53719e-17
4244.9346 3.33261e-17
4247.1025 3.57059e-17
4249.271 3.47102e-17
4251.4399 3.68045e-17
4253.6084 3.37539e-17
4255.7778 3.35574e-17
4257.9468 3.50304e-17
4260.1162 3.38802e-17
4262.2856 3.19456e-17
4264.4556 3.2188e-17
4266.6255 3.45205e-17
4268.7954 3.42608e-17
4270.9658 3.5126e-17
4273.1362 3.33755e-17
4275.3071 3.0515e-17
4277.478 3.10929e-17
4279.6489 3.35026e-17
4281.8203 3.48902e-17
4283.9917 3.35988e-17
4286.1631 3.38538e-17
4288.335 3.68033e-17
4290.5068 3.62806e-17
4292.6792 3.70195e-17
4294.8511 3.71525e-17
4297.0239 3.50477e-17
4299.1963 3.71839e-17
4301.3691 3.67409e-17
4303.5425 3.49528e-17
4305.7153 3.22014e-17
4307.8887 3.46269e-17
4310.0625 3.42898e-17
4312.2363 3.44881e-17
4314.4097 3.39236e-17
4316.584 3.26863e-17
4318.7583 3.37681e-17
4320.9326 3.37635e-17
4323.1074 3.53955e-17
4325.2817 3.26766e-17
4327.457 3.43682e-17
4329.6318 3.0137e-17
4331.8071 3.29903e-17
4333.9824 3.17752e-17
4336.1582 3.43933e-17
4338.334 2.9889e-17
4340.5098 3.20171e-17
4342.686 3.30549e-17
4344.8623 3.10272e-17
4347.0386 3.32442e-17
4349.2153 3.35296e-17
4351.3916 2.99391e-17
4353.5688 3.27136e-17
4355.7456 3.19831e-17
4357.9229 3.11517e-17
4360.1001 3.1359e-17
4362.2778 3.37398e-17
4364.4556 3.33771e-17
4366.6333 3.62904e-17
4368.8115 3.29965e-17
4370.9897 3.23111e-17
4373.168 3.29385e-17
4375.3462 3.45289e-17
4377.5249 2.98575e-17
4379.7036 3.11402e-17
4381.8828 3.26983e-17
4384.062 3.23649e-17
4386.2412 3.45158e-17
4388.4204 2.85122e-17
4390.6001 3.35449e-17
4392.7798 2.89137e-17
4394.9595 3.23888e-17
4397.1396 3.14651e-17
4399.3198 2.99995e-17
4401.5 3.44725e-17
4403.6807 3.0689e-17
4405.8613 3.17524e-17
4408.042 3.48118e-17
4410.2227 3.43875e-17
4412.4038 3.31264e-17
4414.585 3.42753e-17
4416.7666 3.44124e-17
4418.9478 3.122e-17
4421.1294 3.28197e-17
4423.3115 2.82943e-17
4425.4932 3.4461e-17
4427.6753 3.51557e-17
4429.8574 3.21344e-17
4432.04 3.06893e-17
4434.2222 3.26926e-17
4436.4048 3.23182e-17
4438.5879 3.32179e-17
4440.7705 3.93426e-17
4442.9536 4.74091e-17
4445.1367 5.41822e-17
4447.3203 5.5314e-17
4449.5034 4.71273e-17
4451.687 3.5522e-17
4453.8711 3.03694e-17
4456.0547 3.28695e-17
4458.2388 3.29547e-17
4460.4229 3.29725e-17
4462.6069 3.32143e-17
4464.7915 3.67982e-17
4466.9761 3.26433e-17
4469.1606 3.0689e-17
4471.3452 2.81837e-17
4473.5303 3.06818e-17
4475.7153 2.93501e-17
4477.9004 3.48287e-17
4480.0859 3.41239e-17
4482.2715 2.9763e-17
4484.457 3.34264e-17
4486.6426 3.67606e-17
4488.8286 3.35919e-17
4491.0142 3.52633e-17
4493.2002 2.8597e-17
4495.3867 2.98716e-17
4497.5728 2.91537e-17
4499.7593 3.25885e-17
4501.9458 3.32329e-17
4504.1328 3.66888e-17
4506.3193 3.36422e-17
4508.5063 3.6742e-17
4510.6934 3.64847e-17
4512.8804 3.64907e-17
4515.0679 3.51358e-17
4517.2554 3.65424e-17
4519.4429 3.10679e-17
4521.6304 3.27825e-17
4523.8184 3.26957e-17
4526.0059 3.37492e-17
4528.1943 3.23016e-17
4530.3823 3.09574e-17
4532.5703 2.9755e-17
4534.7588 3.39594e-17
4536.9473 3.48876e-17
4539.1357 3.75811e-17
4541.3247 3.50326e-17
4543.5132 3.5904e-17
4545.7021 3.79121e-17
4547.8911 3.80862e-17
4550.0806 3.65374e-17
4552.2695 3.53864e-17
4554.459 3.43926e-17
4556.6484 3.61218e-17
4558.8379 3.59027e-17
4561.0278 3.47021e-17
4563.2173 3.41071e-17
4565.4077 3.49791e-17
4567.5977 3.27382e-17
4569.7876 2.97563e-17
4571.978 2.59496e-17
4574.168 2.5795e-17
4576.3584 2.96921e-17
4578.5493 3.17197e-17
4580.7397 2.94185e-17
4582.9307 2.9075e-17
4585.1216 3.4807e-17
4587.3125 3.43845e-17
4589.5034 3.58588e-17
4591.6948 3.25061e-17
4593.8857 3.27757e-17
4596.0771 3.51994e-17
4598.2686 3.74543e-17
4600.4604 3.74741e-17
4602.6519 3.51448e-17
4604.8438 3.21344e-17
4607.0356 3.58627e-17
4609.2275 3.67241e-17
4611.4194 4.13424e-17
4613.6118 4.31172e-17
4615.8042 4.15576e-17
4617.9961 3.8927e-17
4620.189 3.49776e-17
4622.3813 3.51772e-17
4624.5737 3.37699e-17
4626.7666 3.59311e-17
4628.9595 3.42691e-17
4631.1523 3.23661e-17
4633.3452 3.1605e-17
4635.5386 3.18191e-17
4637.7314 3.04872e-17
4639.9248 3.23802e-17
4642.1182 3.49979e-17
4644.3115 3.07849e-17
4646.5054 3.20443e-17
4648.6987 3.19792e-17
4650.8926 3.19964e-17
4653.0864 3.19537e-17
4655.2803 3.29571e-17
4657.4741 3.25419e-17
4659.6685 3.36547e-17
4661.8623 3.49523e-17
4664.0566 3.70328e-17
4666.251 3.62364e-17
4668.4453 3.3588e-17
4670.6401 3.46679e-17
4672.8345 3.45382e-17
4675.0293 3.51502e-17
4677.2241 3.54708e-17
4679.4189 3.19042e-17
4681.6138 3.40618e-17
4683.8086 3.2649e-17
4686.0039 2.9891e-17
4688.1987 3.24507e-17
4690.394 2.73683e-17
4692.5894 2.66196e-17
4694.7847 2.87574e-17
4696.9805 3.02631e-17
4699.1758 2.93909e-17
4701.3716 3.11561e-17
4703.5669 3.26938e-17
4705.7627 3.1834e-17
4707.9585 3.26663e-17
4710.1548 3.30174e-17
4712.3506 3.30228e-17
4714.5469 3.25511e-17
4716.7427 3.44752e-17
4718.939 3.43096e-17
4721.1353 3.47092e-17
