wavelength flux
4208.2466 4.71232e-16
4210.4111 4.63648e-16
4212.5762 4.64087e-16
4214.7412 4.67283e-16
4216.9067 4.61759e-16
4219.0723 4.49924e-16
4221.2378 4.5425e-16
4223.4038 4.44856e-16
4225.5703 4.63726e-16
4227.7363 4.66599e-16
4229.9033 4.73576e-16
4232.0698 4.60359e-16
4234.2368 4.48907e-16
4236.4038 4.50463e-16
4238.5713 4.61896e-16
4240.7388 4.75353e-16
4242.9067 4.6672e-16
4245.0747 4.64067e-16
4247.2427 4.52858e-16
4249.4111 4.5525e-16
4251.5796 4.59811e-16
4253.7485 4.45843e-16
4255.9175 4.4911e-16
4258.0864 4.54599e-16
4260.2554 4.62004e-16
4262.4253 4.53947e-16
4264.5947 4.40589e-16
4266.7646 4.40393e-16
4268.9346 4.45876e-16
4271.105 4.39079e-16
4273.2754 4.47778e-16
4275.4458 4.59555e-16
4277.6167 4.5848e-16
4279.7876 4.51676e-16
4281.959 4.49165e-16
4284.1304 4.47501e-16
4286.3018 4.47287e-16
4288.4736 4.37413e-16
4290.6455 4.32756e-16
4292.8174 4.26502e-16
4294.9897 4.25117e-16
4297.1621 4.18548e-16
4299.3345 4.43781e-16
4301.5073 4.38581e-16
4303.6802 4.31153e-16
4305.8535 4.36466e-16
4308.0269 4.44044e-16
4310.2002 4.36865e-16
4312.374 4.31811e-16
4314.5479 4.35654e-16
4316.7217 4.42894e-16
4318.896 4.44758e-16
4321.0703 4.37081e-16
4323.2446 4.39975e-16
4325.4194 4.29665e-16
4327.5942 4.18389e-16
4329.7695 4.33152e-16
4331.9448 4.31135e-16
4334.1201 4.4019e-16
4336.2954 4.25629e-16
4338.4712 4.26656e-16
4340.647 4.2913e-16
4342.8232 4.31661e-16
4344.9995 4.24051e-16
4347.1758 4.38576e-16
4349.3525 4.31606e-16
4351.5288 4.2462e-16
4353.7061 4.36798e-16
4355.8828 4.24719e-16
4358.0601 4.42144e-16
4360.2373 4.34786e-16
4362.415 4.22708e-16
4364.5928 4.22192e-16
4366.7705 4.14966e-16
4368.9487 4.1716e-16
4371.1265 4.18069e-16
4373.3052 4.28705e-16
4375.4834 4.15535e-16
4377.6621 4.25767e-16
4379.8408 4.19849e-16
4382.02 4.28379e-16
4384.1992 4.20702e-16
4386.3784 4.16812e-16
4388.5576 4.19784e-16
4390.7373 4.08027e-16
4392.917 4.11075e-16
4395.0967 4.03983e-16
4397.2769 4.00129e-16
