wavelength flux
4255.7227 9.60147e-17
4257.8911 1.00391e-16
4260.0601 1.04255e-16
4262.229 1.01904e-16
4264.3979 1.03201e-16
4266.5674 9.66112e-17
4268.7368 9.67942e-17
4270.9067 9.5359e-17
4273.0767 1.00154e-16
4275.2466 1.02537e-16
4277.417 9.64694e-17
4279.5874 1.02086e-16
4281.7583 9.5454e-17
4283.9292 9.73682e-17
4286.1001 9.27671e-17
4288.2715 9.71183e-17
4290.4429 9.79684e-17
4292.6143 9.58139e-17
4294.7861 9.65779e-17
4296.958 9.89832e-17
4299.1299 9.59295e-17
4301.3022 9.45046e-17
4303.4746 9.66894e-17
4305.6475 9.79758e-17
4307.8203 1.04219e-16
4309.9932 9.78971e-17
4312.1665 1.01872e-16
4314.3398 1.00176e-16
4316.5132 1.03246e-16
4318.687 9.81224e-17
4320.8608 9.98212e-17
4323.0347 1.0743e-16
4325.209 1.06059e-16
4327.3833 1.06241e-16
4329.5581 1.13508e-16
4331.7329 1.10582e-16
4333.9077 1.07252e-16
4336.0825 1.05012e-16
4338.2578 1.07847e-16
4340.4331 1.06632e-16
4342.6089 1.10006e-16
4344.7847 1.09815e-16
4346.9604 1.09001e-16
4349.1367 1.08768e-16
4351.3125 1.07986e-16
4353.4893 1.09786e-16
4355.6655 1.07079e-16
4357.8423 1.06616e-16
4360.019 1.08672e-16
4362.1963 1.1014e-16
4364.3735 1.03454e-16
4366.5508 1.03982e-16
4368.728 1.01525e-16
4370.9058 9.97024e-17
4373.0835 1.00634e-16
4375.2617 9.90346e-17
4377.4399 9.94005e-17
4379.6182 1.0108e-16
4381.7964 9.85052e-17
4383.9751 1.02114e-16
4386.1538 9.55757e-17
4388.333 9.26774e-17
4390.5117 9.23117e-17
4392.6909 9.77474e-17
4394.8706 9.48662e-17
4397.0498 9.37801e-17
4399.2295 9.35165e-17
4401.4097 9.23447e-17
4403.5894 9.28655e-17
4405.7695 9.70726e-17
4407.9497 9.28845e-17
4410.1304 9.86324e-17
4412.311 9.86636e-17
4414.4917 9.42731e-17
4416.6724 8.9598e-17
4418.8535 8.90066e-17
4421.0347 9.16406e-17
4423.2158 8.48837e-17
4425.3975 9.12102e-17
4427.5791 9.46597e-17
4429.7607 9.01318e-17
4431.9424 8.84443e-17
4434.1245 9.14716e-17
4436.3066 8.82091e-17
4438.4888 9.5326e-17
4440.6714 9.07707e-17
4442.854 9.29431e-17
4445.0366 9.02129e-17
4447.2197 8.60991e-17
4449.4023 8.97389e-17
4451.5854 9.30187e-17
4453.769 9.35588e-17
4455.9521 9.04382e-17
4458.1357 9.3619e-17
4460.3193 8.94318e-17
4462.5034 9.19536e-17
4464.687 9.45082e-17
4466.8711 9.62171e-17
4469.0552 9.32445e-17
4471.2397 9.3712e-17
4473.4243 9.08776e-17
4475.6089 8.89804e-17
4477.7935 9.05607e-17
4479.9785 9.24895e-17
4482.1636 9.0059e-17
4484.3486 9.42542e-17
4486.5337 9.09347e-17
4488.7192 9.08739e-17
4490.9048 9.32195e-17
4493.0903 9.31293e-17
4495.2759 9.23942e-17
4497.4619 9.04111e-17
4499.6479 9.13523e-17
4501.834 9.12439e-17
4504.02 9.03124e-17
4506.2065 9.16381e-17
4508.3931 9.07116e-17
4510.5796 8.9445e-17
4512.7666 8.92912e-17
4514.9531 9.24051e-17
4517.1401 8.89607e-17
4519.3276 9.00266e-17
4521.5146 9.36401e-17
4523.7021 8.23153e-17
4525.8892 8.51146e-17
4528.0771 8.78299e-17
4530.2646 8.48378e-17
4532.4526 9.1433e-17
4534.6406 9.25809e-17
4536.8286 9.01479e-17
4539.0166 8.65801e-17
4541.2051 8.7931e-17
4543.3931 8.50174e-17
4545.582 8.51746e-17
4547.7705 8.9918e-17
4549.959 8.73751e-17
4552.1479 8.47659e-17
4554.3369 8.02819e-17
4556.5259 8.30139e-17
4558.7153 8.17508e-17
4560.9043 8.1144e-17
4563.0938 8.50425e-17
4565.2832 8.37723e-17
4567.4727 8.83233e-17
4569.6626 9.31912e-17
4571.8525 9.45611e-17
4574.0425 9.82167e-17
4576.2324 9.36866e-17
4578.4224 9.65699e-17
4580.6128 9.36028e-17
4582.8032 9.12705e-17
4584.9937 9.72268e-17
4587.1841 1.00371e-16
4589.3745 1.01742e-16
4591.5654 9.87408e-17
4593.7563 1.03128e-16
4595.9473 1.00962e-16
4598.1382 1.03233e-16
4600.3296 1.04278e-16
4602.5205 9.88571e-17
4604.7119 9.70328e-17
4606.9038 9.84534e-17
4609.0952 9.4602e-17
4611.2866 9.94457e-17
4613.4785 9.61858e-17
4615.6704 9.92822e-17
4617.8623 9.95626e-17
4620.0542 1.01401e-16
4622.2466 1.02823e-16
4624.4385 1.00079e-16
4626.6309 9.90853e-17
4628.8237 9.79953e-17
4631.0161 9.43751e-17
4633.2085 9.59438e-17
4635.4014 9.30689e-17
4637.5942 9.65513e-17
4639.7871 9.25172e-17
4641.98 9.21879e-17
4644.1729 9.25931e-17
4646.3662 9.13131e-17
4648.5596 9.45464e-17
4650.7529 9.40006e-17
4652.9463 9.45136e-17
4655.1396 9.79574e-17
4657.333 9.49591e-17
4659.5269 9.65446e-17
4661.7207 9.52452e-17
4663.9146 9.57032e-17
4666.1084 9.4615e-17
